TransactionID,Product,Category,Price,Quantity,Date,City,Promotion,CustomerAge,CustomerGender,PaymentMethod,CustomerSegment,TotalSales,average_sales, , 
1,Sunscreen,Anti-Aging,6322,5,2023-04-02,Port Harcourt,FALSE,48,Female,Cash,New,"$31,610.00","$15,805.00",,
2,Sunscreen,Anti-Aging,13796.76,8,2023-09-05,Ibadan,TRUE,45,Female,Cash,Regular,"$110,374.08","$55,187.04",,
3,Cleanser,Cleansing,6643.75,3,2023-06-10,Port Harcourt,TRUE,60,Male,Cash,Regular,"$19,931.25","$9,965.62",,
4,Cleanser,Anti-Aging,11849.87,2,2023-05-27,Port Harcourt,TRUE,34,Female,Debit Card,New,"$23,699.74","$11,849.87",,
5,Sunscreen,Treatment,2039.42,7,2022-10-01,Ibadan,FALSE,61,Male,Debit Card,Regular,"$14,275.94","$7,137.97",,
6,Face Mask,Anti-Aging,7604.56,4,2023-05-13,Lagos,TRUE,33,Male,Debit Card,New,"$30,418.24","$15,209.12",,
7,Serum,Hydration,10455.9,2,2023-01-22,Ibadan,TRUE,46,Female,Credit Card,New,"$20,911.80","$10,455.90",,
8,Moisturizer,Treatment,11102.09,3,2023-04-14,Abuja,FALSE,33,Female,Credit Card,New,"$33,306.27","$16,653.13",,
9,Cleanser,Protection,16499.6,3,2022-07-15,Port Harcourt,FALSE,38,Male,Credit Card,Regular,"$49,498.80","$24,749.40",,
10,Sunscreen,Protection,10696.2,5,2022-04-05,Port Harcourt,FALSE,25,Male,Debit Card,Regular,"$53,481.00","$26,740.50",,
11,Face Mask,Hydration,17129.97,5,2023-12-05,Port Harcourt,TRUE,28,Female,Debit Card,Regular,"$85,649.85","$42,824.93",,
12,Sunscreen,Hydration,12289.66,4,2022-05-24,Lagos,FALSE,61,Female,Debit Card,New,"$49,158.64","$24,579.32",,
13,Sunscreen,Protection,11220.01,2,2022-10-27,Abuja,FALSE,34,Male,Cash,New,"$22,440.02","$11,220.01",,
14,Moisturizer,Anti-Aging,12913.77,2,2023-02-10,Kano,FALSE,19,Female,Debit Card,Regular,"$25,827.54","$12,913.77",,
15,Serum,Anti-Aging,6547.5,6,2023-02-19,Abuja,TRUE,42,Female,Cash,New,"$39,285.00","$19,642.50",,
16,Moisturizer,Protection,11777.54,3,2022-03-24,Lagos,TRUE,49,Male,Credit Card,New,"$35,332.62","$17,666.31",,
17,Moisturizer,Treatment,19990.5,6,2022-09-13,Abuja,TRUE,26,Female,Cash,Regular,"$119,943.00","$59,971.50",,
18,Face Mask,Hydration,18488.63,7,2022-06-20,Abuja,FALSE,58,Male,Debit Card,New,"$129,420.41","$64,710.21",,
